,id,date,Amount,bathrooms,sqft_living,sqft_lot,2 Bedrooms,3 Bedrooms,4 Bedrooms,5 Bedrooms
0,7129300520.0,20141013T000000,221900.0,1.0,1180.0,5650.0,0,1,0,0
1,6414100192.0,20141209T000000,538000.0,2.25,2570.0,7242.0,0,1,0,0
2,5631500400.0,20150225T000000,180000.0,1.0,770.0,10000.0,1,0,0,0
3,2487200875.0,20141209T000000,604000.0,3.0,1960.0,5000.0,0,0,1,0
4,1954400510.0,20150218T000000,510000.0,2.0,1680.0,8080.0,0,1,0,0
5,7237550310.0,20140512T000000,1230000.0,4.5,5420.0,101930.0,0,0,1,0
6,1321400060.0,20140627T000000,257500.0,2.25,1715.0,6819.0,0,1,0,0
7,2008000270.0,20150115T000000,291850.0,1.5,1060.0,9711.0,0,1,0,0
8,2414600126.0,20150415T000000,229500.0,1.0,1780.0,7470.0,0,1,0,0
9,3793500160.0,20150312T000000,323000.0,2.5,1890.0,6560.0,0,1,0,0
10,1736800520.0,20150403T000000,662500.0,2.5,3560.0,9796.0,0,1,0,0
11,9212900260.0,20140527T000000,468000.0,1.0,1160.0,6000.0,1,0,0,0
12,114101516.0,20140528T000000,310000.0,1.0,1430.0,19901.0,0,1,0,0
13,6054650070.0,20141007T000000,400000.0,1.75,1370.0,9680.0,0,1,0,0
14,1175000570.0,20150312T000000,530000.0,2.0,1810.0,4850.0,0,0,0,1
15,9297300055.0,20150124T000000,650000.0,3.0,2950.0,5000.0,0,0,1,0
16,1875500060.0,20140731T000000,395000.0,2.0,1890.0,14040.0,0,1,0,0
17,6865200140.0,20140529T000000,485000.0,1.0,1600.0,4300.0,0,0,1,0
18,16000397.0,20141205T000000,189000.0,1.0,1200.0,9850.0,1,0,0,0
19,7983200060.0,20150424T000000,230000.0,1.0,1250.0,9774.0,0,1,0,0
20,6300500875.0,20140514T000000,385000.0,1.75,1620.0,4980.0,0,0,1,0
21,2524049179.0,20140826T000000,2000000.0,2.75,3050.0,44867.0,0,1,0,0
22,7137970340.0,20140703T000000,285000.0,2.5,2270.0,6300.0,0,0,0,1
23,8091400200.0,20140516T000000,252700.0,1.5,1070.0,9643.0,1,0,0,0
24,3814700200.0,20141120T000000,329000.0,2.25,2450.0,6500.0,0,1,0,0
25,1202000200.0,20141103T000000,233000.0,2.0,1710.0,4697.0,0,1,0,0
26,1794500383.0,20140626T000000,937000.0,1.75,2450.0,2691.0,0,1,0,0
27,3303700376.0,20141201T000000,667000.0,1.0,1400.0,1581.0,0,1,0,0
28,5101402488.0,20140624T000000,438000.0,1.75,1520.0,6380.0,0,1,0,0
29,1873100390.0,20150302T000000,719000.0,2.5,2570.0,7173.0,0,0,1,0
30,8562750320.0,20141110T000000,580500.0,2.5,2320.0,3980.0,0,1,0,0
31,2426039314.0,20141201T000000,280000.0,1.5,1190.0,1265.0,1,0,0,0
32,461000390.0,20140624T000000,687500.0,1.75,2330.0,5000.0,0,0,1,0
33,7589200193.0,20141110T000000,535000.0,1.0,1090.0,3000.0,0,1,0,0
34,7955080270.0,20141203T000000,322500.0,2.75,2060.0,6659.0,0,0,1,0
35,9547205180.0,20140613T000000,696000.0,2.5,2300.0,3060.0,0,1,0,0
36,9435300030.0,20140528T000000,550000.0,1.0,1660.0,34848.0,0,0,1,0
37,2768000400.0,20141230T000000,640000.0,2.0,2360.0,6000.0,0,0,1,0
38,7895500070.0,20150213T000000,240000.0,1.0,1220.0,8075.0,0,0,1,0
39,2078500320.0,20140620T000000,605000.0,2.5,2620.0,7553.0,0,0,1,0
